City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
202,202,Reconquista,AR,2020-01-05 06:15:55,-29.14,-59.64,69.37,67,0,5.26,clear sky,0.0,0.0
203,203,Namatanai,PG,2020-01-05 06:15:56,-3.66,152.44,84.76,72,100,7.36,light rain,2.62,0.0
204,204,Pallisa,UG,2020-01-05 06:15:56,1.17,33.71,73.33,74,19,2.26,few clouds,0.0,0.0
205,205,Havoysund,NO,2020-01-05 06:15:56,71.0,24.66,24.8,79,100,36.91,mist,0.0,0.0
206,206,Adre,TD,2020-01-05 06:15:56,13.47,22.2,55.49,29,5,19.1,clear sky,0.0,0.0
207,207,Matagami,NG,2020-01-05 06:15:57,9.67,8.4,62.33,34,0,7.16,clear sky,0.0,0.0
208,208,Maniwaki,CA,2020-01-05 06:15:57,46.38,-75.98,16.72,92,89,5.79,overcast clouds,0.0,0.0
209,209,Kavaratti,IN,2020-01-05 06:15:57,10.57,72.64,86.0,62,20,4.7,few clouds,0.0,0.0
210,210,Mar Del Plata,AR,2020-01-05 06:15:57,-46.43,-67.52,58.86,41,87,11.34,overcast clouds,0.0,0.0
211,211,Kruisfontein,ZA,2020-01-05 06:15:58,-34.0,24.73,69.15,67,68,16.42,broken clouds,0.0,0.0
212,212,Fare,PF,2020-01-05 06:15:58,-16.7,-151.02,81.41,78,100,9.8,light rain,1.37,0.0
213,213,Kieta,PG,2020-01-05 06:15:58,-6.22,155.63,85.17,71,100,4.97,moderate rain,4.69,0.0
214,214,Lakes Entrance,AU,2020-01-05 06:15:58,-37.88,147.99,57.99,77,100,1.01,moderate rain,5.56,0.0
215,215,Jijiga,ET,2020-01-05 06:15:58,9.35,42.8,69.24,34,71,3.76,broken clouds,0.0,0.0
216,216,Salta,AR,2020-01-05 06:15:23,-24.79,-65.41,69.8,88,98,2.24,light rain,0.31,0.0
217,217,Kaitangata,NZ,2020-01-05 06:15:59,-46.28,169.85,57.99,44,47,23.0,scattered clouds,0.0,0.0
218,218,Karak,JO,2020-01-05 06:15:59,31.18,35.7,42.8,93,75,17.22,drizzle,0.0,0.0
219,219,Glenwood Springs,US,2020-01-05 06:13:45,39.55,-107.33,19.99,78,1,10.29,clear sky,0.0,0.0
220,220,Bambanglipuro,ID,2020-01-05 06:15:59,-7.95,110.28,85.06,70,28,12.41,light rain,1.31,0.0
